,att_id,att_name,att_cat,att_price,score
614,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.5713440086544255
210,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307406504759431
572,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007037498231904
1175,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.0436666329472315
1451,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.8510240555080943
1372,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.391512602967201
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.273985681321277
1395,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.05835144089418
1422,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.9520877718890046
579,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297367978174924
907,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.8598197913600225
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.8286454484665624
396,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.728651169178043
1051,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6855465550458886
467,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6756846265648586
1043,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.4787590876020704
861,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3906102394674194
1289,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3763132224140842
1039,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.2973739117633494
1095,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2896827192458094
1541,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2592222032729579
588,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2274217990638823
952,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1860724970315846
1319,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.1597398900135636
1172,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.103262723200665
80,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,1.062653577770474
1314,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,1.0208508201123798
575,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.0207981607493841
1036,2240,quebec_city_walking_tour,family_friendly,30.99,1.0104857021627245
1397,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,1.0026716377981943
1057,2266,ultimate_day_tour_to_victoria,family_friendly,363.56,0.9766754655993124
868,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,0.9615212711372139
144,301,6-hour_niagara_falls_canadian_side_evening_illuminations_tour,cultural_&_theme_tours,149.89,0.9551319350937344
841,1910,quebec_city_walking_tour,walking_&_biking_tours,30.99,0.9434474075490198
537,1202,call_of_the_wild_atv_tour,outdoor_activities,156.45,0.8902790040443519
604,1343,5.5-hour_jasper_wildlife_and_waterfalls_tour_with_maligne_lake_cruise_from_jasper,tours_&_sightseeing,144.59,0.8851125354304394
440,986,jasper_to_banff_one-way_tour,outdoor_activities,257.25,0.8776378314052151
1044,2248,niagara_on_the_lake_wine_tour_with_cheese_pairing,family_friendly,83.62,0.8662312282763113
598,1335,"jasper_national_park_tour:_maligne_valley,_medicine_lake_and_spirit_island",tours_&_sightseeing,72.45,0.8497781028603184
53,82,ultimate_day_tour_to_victoria,"cruises,_sailing_&_water_tours",363.56,0.847554707533833
424,966,niagara_falls_helicopter_tour,outdoor_activities,145.0,0.8394071338703302
85,150,victoria_whale_watching_tour_on_a_covered_vessel,"cruises,_sailing_&_water_tours",122.0,0.8342055590144206
608,1348,toronto's_original_brunch_food_tour,tours_&_sightseeing,99.0,0.8066237548853346
1311,3312,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,recommended_experiences,169.0,0.7189517665378112
1005,2188,english_bay_jet_ski_tour_from_vancouver,water_sports,155.68,0.7176323569427521
1124,2462,skagway_shore_excursion:_full-day_tour_of_the_yukon,shore_excursions,157.45,0.6613863062230015
436,980,ultimate_day_tour_to_victoria,outdoor_activities,363.56,0.6514073569353146
261,567,small-group_quebec_city_food_tour,"food,_wine_&_nightlife",53.0,0.6341233837920562
843,1912,victoria_guided_food_and_history_tour,walking_&_biking_tours,63.0,0.6312739271499551
1298,3298,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,recommended_experiences,57.5,0.6240186371372128
58,88,quebec_city_historic_discoverers_cruise,"cruises,_sailing_&_water_tours",44.83,0.6051841383057475
1325,3327,whale-watching_cruise_with_expert_naturalists,recommended_experiences,94.5,0.6016471844245357
842,1911,small-group_quebec_city_food_tour,walking_&_biking_tours,53.0,0.5999825634498379
963,2124,three_sisters_sea_kayaking_day_tour,water_sports,136.85,0.5873560184115334
193,406,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,day_trips_&_excursions,210.0,0.5734539465806662
584,1316,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,tours_&_sightseeing,204.42,0.5732784153706805
1315,3316,niagara-on-the-lake_wine_tour_and_tastings_with_transport,recommended_experiences,40.0,0.5611667618816673
1394,3403,whistler_wilderness_snowmobile_run,recommended_experiences,208.96,0.5560822078324149
1097,2421,interactive_pirate_cruise_from_granville_island,family_friendly,34.5,0.5383857363456901
1316,3317,niagara_on_the_lake_wine_tour_with_cheese_pairing,recommended_experiences,83.62,0.526452539586829
46,70,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",149.89,0.5263442953406712
596,1333,niagara-on-the-lake_wine-tasting_tour_with_gourmet_lunch_or_dinner,tours_&_sightseeing,157.07,0.5195541630343911
1511,3540,little_italy_walking_food_tour_in_vancouver,recommended_experiences,73.0,0.5041805545598104
1108,2440,kingston_discovery_sightseeing_cruise,family_friendly,39.55,0.49111225597637514
1304,3304,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,recommended_experiences,204.41,0.47008361702008855
1293,3293,small-group_quebec_city_food_tour,recommended_experiences,53.0,0.4676320311206216
900,2016,downtown_toronto_bike_tour,walking_&_biking_tours,84.75,0.46318816598781704
122,214,quebec_city_walking_tour,cultural_&_theme_tours,30.99,0.4480954074492134
13,14,niagara_falls_helicopter_tour,"air,_helicopter_&_balloon_tours",145.0,0.443399947582096
441,988,3_hour_banff_horseback_riding_adventures,outdoor_activities,170.1,0.44038081077034197
