,att_id,att_name,att_cat,att_price,score
622,1355,ultimate_day_tour_to_victoria,tours_&_sightseeing,363.56,5.0
6,6,whistler_small-group_day_trip_from_vancouver,featured_tours_and_tickets,145.0,4.571326669041294
213,428,ultimate_day_tour_to_victoria,day_trips_&_excursions,363.56,4.307407057467352
579,1303,vancouver_city_sightseeing_tour,tours_&_sightseeing,80.0,4.007047813492723
1192,2609,ultimate_day_tour_to_victoria,luxury_&_special_occasions,363.56,3.0437236756195687
1471,3470,whistler_sasquatch_zipline,recommended_experiences,135.45,2.8511150260553837
1391,3377,ultimate_day_tour_to_victoria,recommended_experiences,363.56,2.3915671968557892
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,featured_tours_and_tickets,204.42,2.2740351915640633
1415,3404,stanley_park_horse-drawn_tours,recommended_experiences,42.0,2.0583906317790173
1442,3431,flavors_of_old_montreal_walking_tour,recommended_experiences,68.0,1.952164451089527
586,1310,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",tours_&_sightseeing,158.0,1.9297722472383587
918,2025,little_italy_walking_food_tour_in_vancouver,walking_&_biking_tours,73.0,1.859892068932145
0,0,vancouver_city_sightseeing_tour,featured_tours_and_tickets,80.0,1.828783495647731
401,887,ultimate_day_tour_to_victoria,sightseeing_tickets_&_passes,363.56,1.728760303611642
1067,2258,niagara_falls_helicopter_tour,family_friendly,145.0,1.6856349027802855
473,1081,2_hour_banff_horseback_riding_adventure,outdoor_activities,124.95,1.6758213065805183
703,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71,1.5886137231773991
1303,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92,1.585523932602875
78,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95,1.5213083703499555
1058,2247,niagara_falls_day_and_evening_tour_with_boat_cruise_and_optional_fallsview_dinner,family_friendly,169.0,1.4788764168350408
278,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0,1.435575459721041
1050,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92,1.3958148876403502
871,1931,ultimate_day_tour_to_victoria,walking_&_biking_tours,363.56,1.3907383851339115
1307,3289,quebec_city_walking_tour,recommended_experiences,30.99,1.3764217702843404
1054,2243,half-day_trip_to_montmorency_falls_and_ste-anne-de-beaupré_from_quebec,family_friendly,57.5,1.297465332165462
1112,2419,ottawa_river_historic_sightseeing_cruise,family_friendly,28.0,1.2897613372954597
1563,3585,overnight_camping_and_river-rafting_trip_in_squamish,recommended_experiences,425.24,1.2593198778850907
595,1323,niagara_on_the_lake_wine_tour_with_cheese_pairing,tours_&_sightseeing,83.62,1.2275090794701027
964,2088,ultimate_day_tour_to_victoria,water_sports,363.56,1.1861509452173569
1339,3321,vancouver_highlights_bike_tour,recommended_experiences,94.45,1.1598555400154165
1189,2606,niagara_falls_helicopter_tour,luxury_&_special_occasions,145.0,1.1033907876412041
84,145,lady_muskoka_boat_cruise,"cruises,_sailing_&_water_tours",42.94,1.0627875454038251
1333,3315,niagara_falls_platinum_tour_from_toronto_with_cruise_and_lunch,recommended_experiences,149.0,1.0209963723205586
582,1306,niagara_falls_canadian_side_tour_and_maid_of_the_mist_boat_ride,tours_&_sightseeing,149.89,1.0209173719933693
1051,2240,quebec_city_walking_tour,family_friendly,30.99,1.0106151441402444
1417,3406,wild_current_canoe_adventure_at_pyramid_lake,recommended_experiences,120.0,1.0027531486158632
1074,2266,ultimate_day_tour_to_victoria,family_friendly,363.56,0.9768176337933419
879,1942,vancouver_biking_and_hiking_tour_including_lunch,walking_&_biking_tours,135.5,0.9616466450349063
